sperm,#,part,length_A,length_B,,,
1,1,head,304055,359827,,,
1,2,midpiece,310886,312850,,,
1,3,tail,1033793,1022835,,,
2,1,head,305647,355135,,,
2,2,midpiece,310575,317368,,,
2,3,tail,1009047,1004195,,,
3,1,head,309866,361440,,,
3,2,midpiece,312889,308606,,,
3,3,tail,1021144,1012146,,,
4,1,head,306012,350375,,,
4,2,midpiece,311652,307667,,,
4,3,tail,1015487,1014860,,,
5,1,head,307485,358631,,,
5,2,midpiece,312280,310028,,,
5,3,tail,1011931,1005993,,,
6,1,head,303065,351269,,,
6,2,midpiece,311420,311117,,,s
6,3,tail,1013575,1006049,,,
7,1,head,307281,356628,,,
7,2,midpiece,309967,310696,,,
7,3,tail,1012924,1000903,,,
8,1,head,309083,353580,,,
8,2,midpiece,306885,313700,,,
8,3,tail,1014829,1016674,,,
9,1,head,307562,353813,,,
9,2,midpiece,309037,314634,,,
9,3,tail,1023283,1016116,,,
10,1,head,302921,357699,,,
10,2,midpiece,313159,309787,,,
10,3,tail,1017565,1014182,,,