ID,sex,morph
063,1,I
062,1,I
064,1,I
058,1,I
051,1,I
055,1,I
065,1,S
501,0,I
639,0,I
681,0,I
804,0,I
806,0,S
821,0,I
823,0,I
828,0,I
836,0,S
852,0,F
857,0,I
870,0,I
011,0,I
892,0,I
927,0,I
1077,0,I
1079,0,S
1084,0,I
1086,0,I
1087,0,S
1093,0,I
1104,0,F
1116,0,S
1302,1,I
1307,1,I
1310,1,S
1320,1,I
1338,1,I
1348,1,F
1357,1,I
1365,1,S
1367,1,I
1368,1,S
1369,1,I
1372,1,F
1377,1,I
1649,1,I
1654,1,S
053,1,I
057,1,I
004,0,I
060,1,I
059,1,I
AO 7421-18-4-NL 5,0,I
008,0,I
007,0,I
003,0,I
005,0,I
320,1,I
349,0,I
292,1,I
850,0,S
952,1,F
963,0,I
979,0,I
982,0,I
994,0,I
1000,0,I
1005,0,I
1007,0,I
1019,0,I
1033,0,I
1043,0,I
1050,0,I
1052,0,I
1056,0,I
1067,0,S
1072,0,I
657,0,I
700,0,I
820,0,I
944,0,I
964,0,S
974,0,S
988,0,I
999,0,I
1016,0,I
1018,0,S
1025,0,S
1038,0,I
1051,0,I
1059,0,I
1061,0,I
1083,0,S
G20-0059-B6.5,1,S
G20-0060-B6.5,1,S
G20-0061-B6.5,1,S
G20-0062-B6.5,1,I
G20-0063-B6.5,1,S
G20-0064-B6.5,1,I
G20-0065-B6.5,1,I
G20-0067-B6.5,1,S
G20-0068-B6.5,1,I
G20-0069-B6.5,1,I
G20-0070-B6.5,1,I
1088,0,I
1095,0,I
1099,0,I
1105,0,I
1304,1,S
1316,1,I
1331,1,I
1332,1,F
1333,1,I
1336,1,I
1345,1,S
1347,1,I
1349,0,I
1360,1,I
1361,1,I
1363,1,S
1364,1,I
1399,1,I
1656,1,I
1659,1,I
1669,1,I
1682,1,I
1687,1,S
1689,1,I
052,1,I
061,1,S
054,1,I
009,0,I
056,1,I
002,0,I
006,0,I
010,0,I
001,0,I
1030,0,I
1034,0,I
1035,0,S
1039,0,S
1049,0,I
1055,0,I
1060,0,F
1064,0,F
1069,0,S
1070,0,I
1082,0,S
1090,0,F
1094,0,S
1097,0,I
1098,0,I
1101,0,S
1102,0,I
1103,0,S
1106,0,S
1107,0,F
1108,0,I
1109,0,F
1110,0,I
1111,0,I
1112,0,I
1113,0,F
1114,0,I
1117,0,I
1118,0,I
1119,0,I
1120,0,F
1121,0,I
1305,1,S
1334,1,I
1339,1,I
1341,1,I
1346,1,S
1353,1,S
1356,1,S
1359,1,I
1371,1,I
1373,1,S
1375,1,I
1378,1,F
1379,1,I
1380,1,I
1381,1,S
1382,1,S
1383,1,S
1385,1,F
1386,1,I
1387,0,S
1395,1,F
1398,1,I
382,1,I
1300,1,S
1301,1,S
1326,1,S
1351,1,I
1384,1,I
1651,1,F
1681,1,I
928,0,F
930,0,I
932,0,I
935,0,F
939,0,I
940,0,I
942,0,F
947,0,F
948,0,I
953,0,S
957,0,I
960,0,F
965,0,I
966,0,I
967,0,I
968,0,I
969,0,S
970,0,I
972,0,I
973,0,S
985,0,I
986,0,I
996,0,I
997,0,I
1001,0,I
1002,0,I
1003,0,I
1006,0,S
1021,0,I
1027,0,S
1029,0,I
G20-0025-B5.0,0,I
G20-0055-B6.5,1,S
G20-0056-B6.5,1,I
G20-0058-B6.5,1,S
G20-0071-B6.5,1,S
G20-0073-B6.5,1,I
G20-0135-B6.0,0,I
G20-0137-B6.0,0,I
G20-0272-B5.5,0,I
G20-0527-B6.5,1,I
G20-0529-B6.5,1,S
G20-0531-B6.5,1,I
G20-0532-B6.5,1,I
G20-0533-B6.5,1,I
1036,0,I
1045,0,I
1047,0,I
G20-0273-B5.5,0,I
G20-0274-B5.5,0,I
G20-0275-B5.5,0,I
G20-0276-B5.5,0,I
G20-0277-B5.5,0,S
G20-0278-B5.5,0,I
G20-0280-B5.5,0,I
G20-0281-B5.5,0,I
G20-0282-B5.5,0,I
G20-0283-B5.5,0,S
G20-0284-B5.5,0,S
G20-0285-B5.5,0,S
G20-0287-B5.5,0,S
G20-0289-B5.5,0,S
G20-0290-B5.5,0,S
G20-0291-B5.5,0,S
G21-0192-B5.5,0,S
G21-0193-B5.5,0,S
G21-0194-B5.5,0,S
G21-0195-B5.5,0,F
G21-0196-B5.5,0,I
G21-0197-B5.5,0,S
G21-0198-B5.5,0,I
G21-0199-B5.5,0,I
G21-0200-B5.5,0,I
G21-0201-B5.5,0,S
G21-0202-B5.5,0,I
G21-0203-B5.5,0,S
G21-0204-B5.5,0,I
G21-0205-B5.5,0,F
G21-0206-B5.5,0,I
G21-0207-B5.5,0,S
G21-0208-B5.5,0,I
G21-0209-B5.5,0,I
G21-0210-B5.5,0,S
G21-0211-B5.5,0,I
G21-0212-B5.5,0,I
G21-0213-B5.5,0,I
G21-0214-B5.5,0,I
G21-0215-B5.5,0,I
G21-0216-B5.5,0,I
G21-0217-B5.5,0,S
G21-0218-B5.5,0,I
G21-0219-B5.5,0,S
G21-0220-B5.5,0,I
G21-0221-B5.5,0,I
G21-0222-B5.5,0,I
G21-0223-B5.5,0,I
G21-0224-B5.5,0,I
G21-0225-B5.5,0,I
G21-0226-B5.5,0,I
G21-0227-B5.5,0,S
G21-0228-B5.5,0,I
G21-0229-B5.5,0,I
G21-0230-B5.5,0,S
G21-0231-B5.5,0,I
G21-0232-B5.5,0,I
G21-0233-B5.5,0,I
G21-0234-B5.5,0,S
G21-0235-B5.5,0,F
G21-0236-B5.5,0,I
G21-0237-B5.5,0,I
G21-0238-B5.5,0,S
G21-0239-B5.5,0,S
G21-0240-B5.5,0,S
G21-0241-B5.5,0,I
G21-0349-B6.5,1,S
G21-0350-B6.5,1,S
G21-0351-B6.5,1,I
G21-0352-B6.5,1,I
G21-0353-B6.5,1,I
G21-0354-B6.5,1,I
G21-0355-B6.5,1,I
G21-0356-B6.5,1,S
G21-0357-B6.5,1,S
G21-0358-B6.5,1,I
G21-0359-B6.5,1,I
G21-0360-B6.5,1,I
G21-0361-B6.5,1,I
G21-0362-B6.5,1,I
G21-0363-B6.5,1,S
G21-0364-B6.5,1,I
G21-0365-B6.5,1,I
G21-0366-B6.5,1,I
G21-0367-B6.5,1,I
G21-0368-B6.5,1,I
G21-0369-B6.5,1,I
G21-0370-B6.5,1,I
G21-0371-B6.5,1,I
G21-0372-B6.5,1,I
G21-0373-B6.5,1,I
G21-0374-B6.5,1,S
G21-0375-B6.5,1,I
G21-0376-B6.5,1,I
G21-0377-B6.5,1,I
G21-0378-B6.5,1,I
G21-0379-B5.5,0,I
G21-0379-B6.5,1,I
G21-0380-B5.5,0,I
G21-0380-B6.5,1,I
G21-0381-B5.5,0,S
G21-0381-B6.5,1,I
G21-0382-B5.5,0,I
G21-0382-B6.5,1,S
G21-0383-B5.5,0,F
G21-0383-B6.5,1,S
G21-0384-B5.5,0,I
G21-0384-B6.5,1,I
G21-0385-B5.5,0,I
G21-0385-B6.5,1,I
G21-0386-B5.5,0,I
G21-0386-B6.5,1,I
G21-0387-B5.5,0,I
G21-0387-B6.5,1,I
G21-0388-B5.5,0,I
G21-0388-B6.5,1,I
G21-0389-B5.5,0,I
G21-0389-B6.5,1,I
G21-0390-B5.5,0,I
G21-0390-B6.5,1,I
G21-0391-B5.5,0,I
G21-0391-B6.5,1,I
G21-0392-B5.5,0,I
G21-0392-B6.5,1,I
G21-0393-B5.5,0,I
G21-0393-B6.5,1,I
G21-0394-B5.5,0,I
G21-0394-B6.5,1,S
G21-0395-B5.5,0,I
G21-0395-B6.5,1,S
G21-0396-B5.5,0,I
G21-0396-B6.5,1,I
G21-0397-B5.5,0,I
G21-0397-B6.5,1,S
G21-0398-B5.5,0,I
G21-0398-B6.5,1,I
G21-0399-B5.5,0,I
G21-0400-B5.5,0,I
G21-0401-B5.5,0,I
G21-0402-B5.5,0,I
G21-0403-B5.5,0,I
G21-0404-B5.5,0,I
G21-0405-B5.5,0,I
G21-0406-B5.5,0,I
G21-0407-B5.5,0,I
G21-0408-B5.5,0,I
G21-0409-B5.5,0,I
G21-0410-B5.5,0,I
G21-0411-B5.5,0,I
G21-0412-B5.5,0,I
G21-0413-B5.5,0,I
G21-0414-B5.5,0,I
G21-0673-B6.5,1,I
G21-0674-B6.5,1,I
G21-0675-B6.5,1,I
G21-0676-B6.5,1,S
G21-0677-B6.5,1,I
G21-0678-B6.5,1,I
G21-0679-B6.5,1,I
G20-0136-B6.0,0,I
G20-0057-B6.5,1,S
G20-0279-B5.5,0,I
G20-0054-B6.5,1,I
G20-0066-B6.5,1,S
G20-0286-B5.5,0,S
G20-0072-B6.5,1,I
G20-0526-B6.5,1,S
G20-0288-B5.5,0,I
G20-0528-B6.5,1,S
G20-0530-B6.5,1,I
012,0,I
013,0,I
014,0,I
066,1,I
067,1,I
G14-209-6.0,1,
G13-230-5.5,0,
G20-570-6.0,0,
G20-834-5.5,0,
